-0.037097	-0.099609
-0.037730	-0.117312
-0.026506	-0.099427
-0.033090	-0.114986
-0.033368	-0.097046
-0.035904	-0.122255
-0.036506	-0.124497
-0.031569	-0.114951
-0.023294	-0.098101
-0.022720	-0.099670
-0.027277	-0.113396
-0.033057	-0.119780
-0.033122	-0.113357
-0.041280	-0.116147
-0.032884	-0.090776
-0.033861	-0.125825
-0.038341	-0.119580
-0.036679	-0.116600
-0.024371	-0.113294
-0.030035	-0.115681
-0.033844	-0.112334
-0.046744	-0.117173
-0.034656	-0.116495
-0.036492	-0.102281
-0.032370	-0.103366
-0.048013	-0.104696
-0.017198	-0.111012
-0.052123	-0.099185
-0.049953	-0.097657
-0.021101	-0.111167
-0.040861	-0.100569
-0.030570	-0.071404
-0.021547	-0.112646
-0.036852	-0.090222
-0.046219	-0.121963
-0.034509	-0.077734
-0.053472	-0.104669
-0.045619	-0.097627
-0.025779	-0.105456
-0.039417	-0.097583
-0.039193	-0.100212
-0.039775	-0.109125
-0.050613	-0.097667
-0.015709	-0.109062
-0.053422	-0.099209
-0.048470	-0.106227
-0.018126	-0.120187
-0.049828	-0.099218
-0.041674	-0.080279
-0.032010	-0.102325
-0.050016	-0.106491
-0.043981	-0.101648
-0.040616	-0.113919
-0.049798	-0.115925
-0.049968	-0.106069
-0.046815	-0.113614
-0.038717	-0.078085
-0.051329	-0.115546
-0.020132	-0.104537
-0.040996	-0.091576
-0.035619	-0.092570
-0.049879	-0.124023
-0.042735	-0.114209
-0.036700	-0.115114
-0.041868	-0.107934
-0.042814	-0.105896
-0.037231	-0.106967
-0.034479	-0.105090
-0.044583	-0.117603
-0.037279	-0.119964
-0.037038	-0.120507
-0.041663	-0.116268
-0.027384	-0.115649
-0.047110	-0.118113
-0.013687	-0.103533
-0.038460	-0.117316
-0.048654	-0.099964
-0.028895	-0.096286
-0.038407	-0.096678
-0.032567	-0.096063
-0.021831	-0.107902
-0.046277	-0.098632
-0.018748	-0.119563
-0.037921	-0.102889
